name,team,def_sacks,def_pressures,def_times_hurried,def_times_hitqb,def_tackles_combined,def_missed_tackles,def_targets,def_completions_allowed,def_yards_allowed,def_passer_rating_allowed,def_ints,sack_rate,missed_tkl_pct,pressure_rate,name_last,s_sacks,s_press,s_hits,s_tackle,s_miss,s_int,composite,rank
Myles Garrett,CLE,23.0,53.0,14.0,14.0,58.0,2.0,0.0,0.0,0.0,,0.0,39.6551724137931,3.3333333333333335,91.37931034482759,Myles Garrett,100.0,100.0,45.16129032258064,25.595238095238095,87.85714285714286,0.0,74.3991935483871,1
Aidan Hutchinson,DET,14.5,50.0,15.0,20.0,48.0,6.0,2.0,0.0,0.0,19.8,1.0,30.208333333333332,11.11111111111111,104.16666666666667,Aidan Hutchinson,63.04347826086957,94.33962264150944,64.51612903225806,19.642857142857142,59.523809523809526,16.666666666666664,61.90751135061981,2
Brian Burns,NYG,16.5,41.0,10.0,14.0,67.0,4.0,14.0,12.0,56.0,86.4,0.0,24.62686567164179,5.633802816901409,61.19402985074627,Brian Burns,71.73913043478261,77.35849056603774,45.16129032258064,30.952380952380953,79.47686116700201,0.0,60.226098579888664,3
Byron Young,LA,12.0,40.0,10.0,17.0,82.0,3.0,16.0,13.0,134.0,85.47272727272728,0.0,14.634146341463413,3.5294117647058822,48.78048780487805,Byron Young,52.17391304347826,75.47169811320755,54.83870967741935,39.88095238095239,87.14285714285714,0.0,57.44233346438684,4
Zach Allen,DEN,7.0,49.0,7.0,31.0,36.0,5.0,0.0,0.0,0.0,,0.0,19.444444444444446,12.195121951219512,136.11111111111111,Zach Allen,30.434782608695656,92.45283018867924,100.0,12.5,55.57491289198607,0.0,54.67613361897712,5
Micah Parsons,GB,12.5,48.0,22.0,12.0,38.0,3.0,3.0,1.0,6.0,56.96666666666667,0.0,32.89473684210527,7.317073170731707,126.3157894736842,Micah Parsons,54.347826086956516,90.56603773584906,38.70967741935484,13.690476190476192,73.34494773519164,0.0,54.14037507504304,6
Nik Bonitto,DEN,14.0,39.0,12.0,10.0,46.0,4.0,7.0,5.0,22.0,65.95,0.0,30.434782608695656,8.0,84.78260869565217,Nik Bonitto,60.86956521739131,73.58490566037736,32.25806451612903,18.452380952380953,70.85714285714286,0.0,51.349377086302525,7
Danielle Hunter,HOU,15.0,34.0,9.0,9.0,50.0,4.0,3.0,2.0,11.0,75.7,0.0,30.0,7.4074074074074066,68.0,Danielle Hunter,65.21739130434783,64.15094339622641,29.03225806451613,20.833333333333336,73.01587301587303,0.0,50.384379251625674,8
Josh Hines-Allen,JAX,8.0,46.0,20.0,17.0,49.0,9.0,4.0,4.0,25.0,102.1,0.0,16.3265306122449,15.517241379310345,93.87755102040816,Josh Hines-Allen,34.78260869565217,86.79245283018868,54.83870967741935,20.238095238095237,43.47290640394089,0.0,47.7417071939641,9
Jared Verse,LA,7.5,36.0,10.0,18.0,59.0,4.0,9.0,7.0,59.0,86.9625,0.0,12.711864406779661,6.349206349206349,61.016949152542374,Jared Verse,32.608695652173914,67.9245283018868,58.06451612903226,26.190476190476193,76.87074829931973,0.0,47.089064448982114,10
Will Anderson,HOU,12.0,36.0,15.0,8.0,45.0,3.0,5.0,3.0,6.0,73.42500000000001,0.0,26.666666666666668,6.25,80.0,Will Anderson,52.17391304347826,67.9245283018868,25.806451612903224,17.857142857142858,77.23214285714286,0.0,46.90605944473637,11
Tuli Tuipulotu,LAC,13.0,30.0,9.0,8.0,48.0,3.0,9.0,5.0,35.0,68.75714285714285,0.0,27.083333333333332,5.88235294117647,62.5,Tuli Tuipulotu,56.52173913043478,56.60377358490566,25.806451612903224,19.642857142857142,78.57142857142858,0.0,45.78200430586376,12
Jeffery Simmons,TEN,11.0,32.0,11.0,9.0,65.0,7.0,4.0,4.0,13.0,87.5,0.0,16.923076923076923,9.722222222222223,49.23076923076923,Jeffery Simmons,47.82608695652174,60.37735849056604,29.03225806451613,29.761904761904763,64.58333333333333,0.0,44.719623466894504,13
Maxx Crosby,LV,10.0,29.0,8.0,11.0,70.0,9.0,3.0,2.0,1.0,52.1,1.0,14.285714285714285,11.39240506329114,41.42857142857143,Maxx Crosby,43.47826086956522,54.71698113207547,35.483870967741936,32.73809523809524,58.499095840867994,16.666666666666664,43.639261392184146,14
Josh Sweat,ARI,12.0,28.0,9.0,7.0,27.0,0.0,3.0,3.0,32.0,92.36666666666667,0.0,44.44444444444444,0.0,103.7037037037037,Josh Sweat,52.17391304347826,52.83018867924528,22.58064516129032,7.142857142857142,100.0,0.0,43.31824642847691,15
DeMarcus Lawrence,SEA,6.0,40.0,20.0,12.0,52.0,6.0,6.0,5.0,21.0,80.0,0.0,11.538461538461538,10.344827586206897,76.92307692307693,DeMarcus Lawrence,26.08695652173913,75.47169811320755,38.70967741935484,22.023809523809522,62.31527093596059,0.0,42.03556161989434,16
Chris Jones,KC,7.0,31.0,6.0,18.0,20.0,1.0,0.0,0.0,0.0,,0.0,35.0,4.761904761904762,155.0,Chris Jones,30.434782608695656,58.490566037735846,58.06451612903226,2.976190476190476,82.65306122448979,0.0,41.17448840527504,17
Abdul Carter,NYG,4.0,34.0,12.0,17.0,43.0,2.0,3.0,2.0,54.0,95.8,0.0,9.30232558139535,4.444444444444445,79.06976744186046,Abdul Carter,17.391304347826086,64.15094339622641,54.83870967741935,16.666666666666664,83.80952380952381,0.0,40.36188598596971,18
Al-Quadin Muhammad,DET,11.0,25.0,6.0,7.0,22.0,0.0,4.0,1.0,15.0,59.375,0.0,50.0,0.0,113.63636363636364,Al-Quadin Muhammad,47.82608695652174,47.16981132075472,22.58064516129032,4.166666666666666,100.0,0.0,40.15237569133875,19
Jalyx Hunt,PHI,6.5,26.0,4.0,15.0,49.0,4.0,9.0,3.0,8.0,48.228571428571435,2.0,13.26530612244898,7.547169811320755,53.06122448979592,Jalyx Hunt,28.26086956521739,49.056603773584904,48.38709677419355,20.238095238095237,72.5067385444744,33.33333333333333,39.953531135918865,20
YaYa Diaby,TB,7.0,32.0,13.0,12.0,49.0,5.0,10.0,10.0,79.0,96.275,0.0,14.285714285714285,9.25925925925926,65.3061224489796,YaYa Diaby,30.434782608695656,60.37735849056604,38.70967741935484,20.238095238095237,66.26984126984127,0.0,39.693924430851844,21
Alex Highsmith,PIT,9.5,23.0,4.0,9.0,50.0,2.0,13.0,7.0,65.0,66.625,0.0,19.0,3.8461538461538463,46.0,Alex Highsmith,41.30434782608695,43.39622641509434,29.03225806451613,20.833333333333336,85.98901098901099,0.0,39.31910076017819,22
Gregory Rousseau,BUF,7.0,29.0,7.0,13.0,37.0,2.0,6.0,4.0,25.0,75.0,0.0,18.91891891891892,5.128205128205128,78.37837837837837,Gregory Rousseau,30.434782608695656,54.71698113207547,41.935483870967744,13.095238095238097,81.31868131868131,0.0,39.19615649242657,23
Leonard Williams,SEA,7.0,29.0,8.0,12.0,59.0,7.0,3.0,2.0,6.0,71.53333333333333,0.0,11.864406779661017,10.606060606060606,49.152542372881356,Leonard Williams,30.434782608695656,54.71698113207547,38.70967741935484,26.190476190476193,61.36363636363637,0.0,38.68106674346586,24
Rashan Gary,GB,7.5,32.0,12.0,12.0,32.0,4.0,1.0,0.0,0.0,39.6,0.0,23.4375,11.11111111111111,100.0,Rashan Gary,32.608695652173914,60.37735849056604,38.70967741935484,10.119047619047619,59.523809523809526,0.0,38.153638026435004,25
Chase Young,NO,10.0,30.0,15.0,3.0,38.0,3.0,1.0,1.0,4.0,83.3,0.0,26.31578947368421,7.317073170731707,78.94736842105263,Chase Young,43.47826086956522,56.60377358490566,9.67741935483871,13.690476190476192,73.34494773519164,0.0,38.03410076241238,26
Montez Sweat,CHI,10.0,25.0,8.0,6.0,49.0,4.0,3.0,2.0,11.0,72.89999999999999,0.0,20.408163265306122,7.547169811320755,51.02040816326531,Montez Sweat,43.47826086956522,47.16981132075472,19.35483870967742,20.238095238095237,72.5067385444744,0.0,38.02554503767158,27
James Pearce,ATL,10.5,27.0,11.0,4.0,26.0,1.0,9.0,3.0,43.0,55.95714285714286,0.0,40.38461538461539,3.7037037037037033,103.84615384615385,James Pearce,45.65217391304348,50.943396226415096,12.903225806451612,6.547619047619048,86.5079365079365,0.0,37.999921609421065,28
George Karlaftis III,KC,6.0,28.0,7.0,14.0,42.0,3.0,3.0,2.0,17.0,81.26666666666667,0.0,14.285714285714285,6.666666666666667,66.66666666666666,George Karlaftis III,26.08695652173913,52.83018867924528,45.16129032258064,16.071428571428573,75.71428571428572,0.0,37.78997053186301,29
