player_id,team,fg_att,fg_made,fg_att_u40,fg_made_u40,fg_att_4049,fg_made_4049,fg_att_50p,fg_made_50p,fg50_pct,xp_att,xp_made,xp_pct,fg_pct,player_name,name,composite,rank
00-0025565,NYJ,29.0,28,14.0,14,7.0,7.0,8.0,7.0,87.5,22.0,22,100.0,96.55172413793103,Nick Folk,Nick Folk,90.3448275862069,1
00-0038905,IND,11.0,11,21.0,19,6.0,3.0,10.0,7.0,70.0,25.0,25,100.0,100.0,Blake Grupe,Blake Grupe,88.0,2
00-0039404,MIN,35.0,33,15.0,15,7.0,7.0,13.0,11.0,84.61538461538461,31.0,31,100.0,94.28571428571428,Will Reichard,Will Reichard,86.13186813186813,3
00-0037224,LAC,41.0,38,22.0,21,13.0,12.0,6.0,5.0,83.33333333333334,35.0,34,97.14285714285714,92.6829268292683,Cameron Dicker,Cameron Dicker,79.88385598141696,4
00-0036816,MIA,29.0,27,14.0,13,11.0,11.0,4.0,3.0,75.0,35.0,34,97.14285714285714,93.10344827586206,Riley Patterson,Riley Patterson,77.1182266009852,5
00-0034173,SF,29.0,28,12.0,12,10.0,10.0,7.0,6.0,85.71428571428571,38.0,34,89.47368421052632,96.55172413793103,Eddy Pineiro,Eddy Pineiro,76.47264713507907,6
00-0032726,HOU,48.0,44,19.0,19,16.0,16.0,13.0,9.0,69.23076923076923,28.0,28,100.0,91.66666666666666,Ka'imi Fairbairn,Ka'imi Fairbairn,76.44230769230768,7
00-0040200,NE,32.0,27,17.0,16,11.0,7.0,4.0,4.0,100.0,55.0,53,96.36363636363636,84.375,Andres Borregales,Andres Borregales,74.36079545454545,8
00-0039409,JAX,34.0,30,14.0,14,10.0,8.0,10.0,8.0,80.0,51.0,50,98.0392156862745,88.23529411764706,Cam Little,Cam Little,73.66666666666666,9
00-0038428,CLE,27.0,24,15.0,14,6.0,5.0,6.0,5.0,83.33333333333334,26.0,25,96.15384615384616,88.88888888888889,Andre Szmyt,Andre Szmyt,73.52564102564102,10
00-0035358,TB,38.0,32,17.0,15,9.0,6.0,12.0,11.0,91.66666666666666,33.0,32,96.96969696969697,84.21052631578947,Chase McLaughlin,Chase McLaughlin,71.56299840510366,11
00-0039576,IND,14.0,13,10.0,10,2.0,2.0,2.0,1.0,,14.0,14,100.0,92.85714285714286,Spencer Shrader,Spencer Shrader,70.35714285714286,12
00-0031492,SEA,48.0,41,21.0,19,15.0,13.0,12.0,9.0,75.0,48.0,48,100.0,85.41666666666666,Jason Myers,Jason Myers,70.31249999999999,13
00-0032569,DEN,32.0,28,21.0,21,5.0,3.0,6.0,4.0,66.66666666666666,39.0,39,100.0,87.5,Wil Lutz,Wil Lutz,69.79166666666667,14
00-0039498,LA,13.0,12,6.0,6,6.0,5.0,1.0,1.0,,39.0,39,100.0,92.3076923076923,Harrison Mevis,Harrison Mevis,69.61538461538461,15
00-0031136,PIT,32.0,27,10.0,8,11.0,10.0,11.0,9.0,81.81818181818183,43.0,42,97.67441860465115,84.375,Chris Boswell,Chris Boswell,68.72654598308668,16
00-0026858,NYG,10.0,9,7.0,7,2.0,1.0,1.0,1.0,,9.0,9,100.0,90.0,Graham Gano,Graham Gano,66.5,17
00-0033862,ATL,22.0,19,5.0,4,8.0,8.0,9.0,7.0,77.77777777777779,18.0,17,94.44444444444444,86.36363636363636,Zane Gonzalez,Zane Gonzalez,65.75757575757576,18
00-0031203,CHI,30.0,25,12.0,11,12.0,10.0,6.0,4.0,66.66666666666666,39.0,39,100.0,83.33333333333334,Cairo Santos,Cairo Santos,64.16666666666669,19
