player_id,team,returns,tot_yds,avg_yds,td,player_name,name,composite,rank
00-0036842,NYJ,18,604.0,33.555557,1.0,Kene Nwangwu,Kene Nwangwu,100.0,1
00-0039000,NYG,19,622.0,32.736843,1.0,Deonte Banks,Deonte Banks,96.0078182983044,2
00-0039875,BUF,31,943.0,30.419355,1.0,Ray Davis,Ray Davis,84.7073758318335,3
00-0037545,SEA,14,418.0,29.857143,1.0,Rashid Shaheed,Rashid Shaheed,81.96593983401993,4
00-0036328,NE,12,342.0,28.5,1.0,Antonio Gibson,Antonio Gibson,75.34829054775653,5
00-0035021,IND,16,516.0,32.25,0.0,Ashton Dulin,Ashton Dulin,63.63389307516456,6
00-0037093,SEA,10,322.0,32.2,0.0,Dareke Young,Dareke Young,63.390088761681135,7
00-0038576,CIN,42,1084.0,25.809525,1.0,Charlie Jones,Charlie Jones,62.22909989655144,8
00-0039623,NO,12,378.0,31.5,0.0,Mason Tipton,Mason Tipton,59.97677256968296,9
00-0035719,WAS,15,452.0,30.133333,0.0,Deebo Samuel,Deebo Samuel,53.312685695213915,10
00-0039451,NYJ,28,837.0,29.892857,0.0,Isaiah Williams,Isaiah Williams,52.14008311492568,11
00-0032104,IND,19,563.0,29.631578,0.0,Ameer Abdullah,Ameer Abdullah,50.86604886290289,12
00-0039355,WAS,26,769.0,29.576923,0.0,Luke McCaffrey,Luke McCaffrey,50.599541935197564,13
00-0039798,NYJ,11,323.0,29.363636,0.0,Isaiah Davis,Isaiah Davis,49.559518529728365,14
00-0031687,LV,23,673.0,29.26087,0.0,Raheem Mostert,Raheem Mostert,49.05841482155057,15
00-0037746,SF,13,378.0,29.076923,0.0,Brian Robinson,Brian Robinson,48.161461598209826,16
00-0040719,JAX,19,539.0,28.368422,0.0,Bhayshul Tuten,Bhayshul Tuten,44.70669290658566,17
00-0035544,DET,16,447.0,27.9375,0.0,Tom Kennedy,Tom Kennedy,42.605450168645326,18
00-0040138,HOU,29,799.0,27.551723,0.0,Jaylin Noel,Jaylin Noel,40.72434187397345,19
00-0038090,SF,33,907.0,27.484848,0.0,Skyy Moore,Skyy Moore,40.39824639677212,20
00-0038896,DET,33,897.0,27.181818,0.0,Jacob Saylors,Jacob Saylors,38.92062335928537,21
00-0038454,BAL,22,591.0,26.863636,0.0,Keaton Mitchell,Keaton Mitchell,37.369116844789694,22
00-0039880,MIA,36,965.0,26.805555,0.0,Malik Washington,Malik Washington,37.085906150127165,23
00-0039746,PHI,29,777.0,26.793104,0.0,Will Shipley,Will Shipley,37.02519223548538,24
00-0039333,BUF,14,375.0,26.785715,0.0,Brandon Codrington,Brandon Codrington,36.989161949743604,25
00-0038040,LV,11,294.0,26.727272,0.0,Zamir White,Zamir White,36.704184152786056,26
00-0036331,CHI,40,1069.0,26.725,0.0,Devin Duvernay,Devin Duvernay,36.69310721155775,27
00-0040078,KC,18,481.0,26.722221,0.0,Brashard Smith,Brashard Smith,36.679556327116416,28
00-0037085,DEN,17,452.0,26.588236,0.0,Tyler Badie,Tyler Badie,36.02622140649119,29
00-0038104,KC,18,475.0,26.38889,0.0,Tyquan Thornton,Tyquan Thornton,35.05417563615018,30
00-0040131,NE,11,290.0,26.363636,0.0,Kyle Williams,Kyle Williams,34.93103650780195,31
00-0038976,DEN,25,658.0,26.32,0.0,Marvin Mims,Marvin Mims,34.71825879040386,32
