team,dropbacks,sacks_allow,sack_rate_allowed,ypc,stuff_rate,sack_sit,pressure_sit,s_sack,s_stuff,s_ypc,s_press,composite,rank
LA,745,29.0,3.8926174496644297,4.86897880539499,12.909441233140656,0.0388739946380697,0.0,96.0838428841794,83.89992066190638,67.201358833948,50.0,80.5996609165217,1
CHI,694,25.0,3.602305475504323,4.8312611012433395,14.209591474245114,0.03602305475504323,0.0,100.0,75.26998223801067,65.1479271391827,50.0,78.86797645619887,2
DAL,657,31.0,4.71841704718417,4.783964365256125,12.91759465478842,0.04711246200607903,0.0,84.94423701905865,83.84580112668675,62.572992664258074,50.0,75.52747146074107,3
CIN,680,36.0,5.294117647058823,4.325268817204301,10.483870967741936,0.052941176470588235,0.0,77.17833619011822,100.0,37.6006355761839,50.0,71.41257656058735,4
BUF,622,44.0,7.07395498392283,5.1632302405498285,12.027491408934708,0.0707395498392283,0.0,53.16925881076378,89.75399231857692,83.22103014659551,50.0,71.34069581598928,5
DEN,721,26.0,3.6061026352288486,4.532091097308489,16.77018633540373,0.036061026352288486,0.0,99.94877829576913,58.27365728900254,48.86047852532005,50.0,69.67928922154996,6
IND,582,29.0,4.982817869415808,4.689095127610209,14.617169373549885,0.04982817869415808,0.0,81.37760782848933,72.56462399344888,57.40811044722045,50.0,69.60357754981104,7
ATL,574,26.0,4.529616724738676,4.638709677419355,16.129032258064516,0.04529616724738676,0.0,87.49105489783612,62.52941176470588,54.66501982959095,50.0,68.04694770105215,8
CAR,595,37.0,6.218487394957983,4.467811158798283,13.948497854077251,0.06218487394957983,0.0,64.70907040679174,77.00302953799547,45.360942537028876,50.0,62.08931913803297,9
GB,567,30.0,5.291005291005291,4.331991951710261,15.694164989939638,0.05291005291005291,0.0,77.22032024999473,65.41590720795361,37.96665725733399,50.0,61.14354856421773,10
KC,634,47.0,7.413249211356467,4.376498800959233,12.23021582733813,0.07413249211356467,0.0,48.59235664554929,88.40837917900973,40.38970438964415,50.0,58.6272646770562,11
SF,672,30.0,4.464285714285714,3.9569471624266144,16.634050880626223,0.044642857142857144,0.0,88.37233615469539,59.17727639000805,17.548424637045713,50.0,58.07060673040723,12
DET,621,39.0,6.280193236714976,4.761020881670533,17.865429234338748,0.06280193236714976,0.0,63.876690784892034,51.003821482189146,61.32390082681336,50.0,57.98896342607229,13
PIT,621,35.0,5.636070853462158,4.423728813559322,17.191283292978206,0.05636070853462158,0.0,72.56556578542403,55.47856430707878,42.961006302062984,50.0,57.781768892537784,14
BAL,469,45.0,9.594882729211088,5.4714285714285715,15.10204081632653,0.09594882729211088,0.0,19.16325834612026,69.34621848739496,100.0,50.0,57.511005967360575,15
WAS,509,37.0,7.269155206286837,4.850526315789474,17.263157894736842,0.07254901960784314,0.0,50.536109620028085,55.00148606811145,66.19676622006708,50.0,55.737275742460035,16
JAX,637,42.0,6.593406593406594,4.316430020283976,16.63286004056795,0.06593406593406594,0.0,59.651605963204766,59.18518076601837,37.11943275252276,50.0,52.91347450505786,17
NYG,577,48.0,8.31889081455806,4.381709741550696,13.518886679920477,0.0831889081455806,0.0,36.375723766310486,79.8546368845749,40.673399031476734,50.0,51.85624414145032,18
TB,602,38.0,6.312292358803987,4.219827586206897,17.45689655172414,0.06312292358803986,0.0,63.44369036958313,53.7155172413793,31.860191651108348,50.0,51.28499471454497,19
SEA,607,33.0,5.436573311367381,4.3075601374570445,20.962199312714777,0.054365733113673806,0.0,75.25668357801054,30.448554679603788,36.63653754627044,50.0,49.63354004275243,20
HOU,703,37.0,5.263157894736842,4.015503875968992,19.379844961240313,0.05263157894736842,0.0,77.59596710152151,40.95166438668488,20.73637613710936,50.0,49.628181835815326,21
MIA,520,38.0,7.307692307692308,4.837264150943396,21.462264150943398,0.07307692307692308,0.0,50.0162642215434,27.12930077691452,65.47474587846187,50.0,47.013169180230015,22
PHI,570,36.0,6.315789473684211,4.306613226452906,21.442885771543086,0.06315789473684211,0.0,63.39651611381,27.25792761994576,36.58498570578189,50.0,44.512405352262704,23
TEN,626,56.0,8.945686900958465,4.298387096774194,15.86021505376344,0.08945686900958466,0.0,27.920571473585156,64.31372549019608,36.13713778429653,50.0,43.100602108887756,24
NO,641,49.0,7.644305772230889,3.769230769230769,16.55011655011655,0.07644305772230889,0.0,45.47552414960002,59.73440285204992,7.328746634759196,50.0,40.66894096666478,25
ARI,711,59.0,8.29817158931083,4.357142857142857,19.230769230769234,0.0829817158931083,0.0,36.65521530854182,41.94117647058822,39.335925815136086,50.0,40.245659752950125,26
NE,693,69.0,9.956709956709958,4.719512195121951,18.466898954703833,0.0994236311239193,0.0,14.282397762375027,47.01147776183644,59.06408002159592,50.0,38.868302550781166,27
MIN,548,60.0,10.948905109489052,4.686868686868687,16.161616161616163,0.10948905109489052,0.0,0.8982026423499292,62.3131313131313,57.2868982979662,50.0,38.33003489325341,28
NYJ,559,60.0,10.73345259391771,4.6490066225165565,16.99779249448124,0.1073345259391771,0.0,3.8045447056326367,56.762887936631586,55.225607328152336,50.0,37.16685885999898,29
LAC,666,66.0,9.90990990990991,4.549266247379455,19.49685534591195,0.0990990990990991,0.0,14.913705984596902,40.17499075101738,49.79553006971606,50.0,34.721176837343144,30
CLE,611,51.0,8.346972176759412,3.9498806682577565,20.52505966587112,0.08346972176759411,0.0,35.99692083637653,33.35013337077075,17.163709728660393,50.0,31.894889736128107,31
LV,581,64.0,11.015490533562824,3.6346153846153846,25.549450549450547,0.11015490533562823,0.0,0.0,0.0,0.0,50.0,5.0,32
