pick_team,pick_side,gap,confidence,covered,home,away,week,vegas_spread,home_pred,away_pred,home_actual,away_actual
GB,away,10.5,45.5,True,CHI,GB,1,1.0,20.7,30.2,20,38
IND,home,5.6,17.8,False,IND,JAX,1,-4.0,22.5,20.9,21,31
ARI,home,15.8,61.4,True,ARI,NYG,2,-5.0,25.2,14.4,28,31
GB,away,6.7,28.4,True,ATL,GB,2,3.0,25.3,29.0,25,24
NE,home,5.5,26.5,False,NE,MIA,2,-2.0,23.6,20.1,17,24
PIT,home,3.9,17.8,True,PIT,CLE,2,-2.5,24.4,23.0,26,22
LAC,away,3.4,17.5,True,MIN,LAC,3,1.0,26.0,28.4,24,28
PIT,away,4.5,16.9,True,LV,PIT,3,3.0,25.3,26.8,18,23
GB,home,1.7,7.0,True,GB,NO,3,-1.5,22.2,22.0,18,17
GB,home,8.0,34.9,False,GB,DET,4,-2.5,28.8,23.3,20,34
IND,home,6.3,31.5,False,IND,LA,4,-1.0,22.2,16.9,23,29
IND,home,8.2,36.9,True,IND,TEN,5,-2.5,23.7,18.0,23,16
GB,away,4.5,31.6,False,LV,GB,5,1.0,25.2,28.7,17,13
PIT,home,7.1,26.1,True,PIT,BAL,5,-4.5,24.2,21.6,17,10
WAS,away,8.7,48.0,True,ATL,WAS,6,1.5,20.1,27.3,16,24
TB,home,6.7,40.4,False,TB,DET,6,-3.0,28.6,24.9,6,20
NE,away,7.5,35.5,False,LV,NE,6,3.0,20.7,25.2,21,17
ARI,away,8.5,33.6,False,LA,ARI,6,7.0,20.4,21.9,26,9
LAC,home,1.8,24.6,False,LAC,DAL,6,-1.5,24.4,24.1,17,20
PIT,away,10.0,50.3,True,LA,PIT,7,3.5,19.8,26.3,17,24
IND,home,8.9,34.3,True,IND,CLE,7,-3.5,22.5,17.1,38,39
NE,home,8.0,27.8,True,NE,BUF,7,-7.5,21.3,20.8,29,25
DET,away,3.6,13.8,False,BAL,DET,7,3.0,21.8,22.4,38,6
TEN,home,7.7,44.6,True,TEN,ATL,8,-2.5,30.2,25.0,28,23
ARI,home,13.3,40.7,True,ARI,BAL,8,-9.5,21.2,17.4,24,31
CAR,home,9.5,40.3,True,CAR,HOU,8,-3.0,23.1,16.6,15,13
NE,away,7.5,30.4,False,MIA,NE,8,7.5,18.8,18.8,31,17
DEN,home,9.1,28.9,True,DEN,KC,8,-7.0,20.7,18.6,24,9
BUF,away,6.6,33.9,False,CIN,BUF,9,1.5,21.9,27.0,24,18
TB,away,6.8,32.1,True,HOU,TB,9,2.5,16.9,21.2,39,37
MIN,away,5.0,15.3,True,ATL,MIN,9,3.5,27.3,28.8,28,31
LAC,home,7.8,30.9,False,LAC,DET,10,-2.5,30.1,24.8,38,41
NE,home,6.9,28.7,False,NE,IND,10,-1.0,19.7,13.8,6,10
LV,home,4.6,20.9,True,LV,NYJ,10,-1.0,24.0,20.4,16,12
WAS,away,7.1,20.2,True,SEA,WAS,10,6.0,21.7,22.8,29,26
CLE,away,7.0,19.9,True,BAL,CLE,10,6.0,19.5,20.5,31,33
CIN,away,7.9,31.9,False,BAL,CIN,11,4.0,16.6,20.5,34,20
LAC,home,10.6,48.3,False,LAC,BAL,12,-3.0,25.8,18.2,10,20
