rank,team,rating_prev,projected
1,JAX,13.5,8.0
2,LA,12.2,7.6
3,NE,11.5,7.3
4,SEA,11.3,7.3
5,BUF,10.6,7.0
6,IND,9.5,6.6
7,PHI,9.5,6.6
8,KC,9.0,6.5
9,SF,8.2,6.2
10,CHI,7.6,6.0
11,DEN,7.3,5.9
12,LAC,6.7,5.7
13,MIN,6.3,5.5
14,GB,6.2,5.5
15,DAL,5.3,5.2
16,HOU,5.3,5.2
17,DET,4.8,5.0
18,BAL,4.6,4.9
19,NO,3.6,4.6
20,CLE,3.2,4.5
21,ATL,3.0,4.4
22,ARI,2.8,4.3
23,PIT,2.6,4.3
24,CAR,1.6,3.9
25,TB,1.5,3.9
26,CIN,0.9,3.7
27,MIA,0.7,3.6
28,WAS,0.3,3.5
29,NYG,-0.4,3.2
30,LV,-0.7,3.1
31,TEN,-1.6,2.8
32,NYJ,-2.6,2.5
