name,team,rush_attempts,rush_yards,rush_touchdowns,efficiency,avg_time_to_los,avg_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,expected_rush_yards,percent_attempts_gte_eight_defenders,ypc,td_rate,name_last,ryoe_att,broken_tackles,drops,rec_yards,receptions,rec_targets,rush_epa,rec_epa,total_epa,s_ryoe,s_eff,s_ypc,s_poe,s_btk,s_recv,s_stacks,composite,rank
James Cook,BUF,616,3227,24,3.444266962312158,2.575113844648971,5.212627470852735,709.4048767067821,1.1747360897032972,0.46897252286943614,2509.595123293218,31.336678204939464,5.238636363636363,3.896103896103896,COOK,1.1747360897032972,,,,,,,,0.0,96.80522349412706,3.7799956721327166,82.15173749652743,89.80477721138786,50.0,50.0,59.73537943967677,63.94756457461162,1
J.K. Dobbins,DEN,306,1544,8,3.6121074286710257,2.8741370378292626,5.146098108664954,322.0980184701018,1.1748549402337995,0.4539721828236166,1165.9019815298982,36.357202660678595,5.045751633986928,2.6143790849673203,DOBBINS,1.1748549402337995,,,,,,,,0.0,96.81015617240362,9.423645623920457,74.212625601188,82.6895016560416,50.0,50.0,73.1467076248358,63.70354227320209,2
Derrick Henry,BAL,606,3148,32,3.743068045627598,2.7859377226634363,5.208894674515433,679.3389706613967,1.1708484511225725,0.4037423365435211,2366.6610293386034,37.71776593789281,5.194719471947194,5.2805280528052805,HENRY,1.1708484511225725,,,,,,,,0.0,96.6438740218674,13.827207503883038,80.3441236027293,58.863428627439276,50.0,50.0,76.78118063423157,62.78001523431317,3
Chase Brown,CIN,447,1969,12,5.78510106732229,2.666986228888984,4.4310657039006065,161.80678791645158,0.41765729643126037,0.4503201964777509,1807.1932120835484,16.21529870991078,4.4049217002237135,2.684563758389262,BROWN,0.41765729643126037,,,,,,,,0.0,65.38402493954095,82.4907414802191,47.83614385856495,80.95721498148461,50.0,50.0,19.341634760604638,62.66304439370842,4
Zach Charbonnet,SEA,321,1255,21,6.305821193599274,3.1093711550090712,3.7595094331899728,112.26957858854338,0.31073779858421,0.4117531892021779,1110.7304214114565,38.29487873721773,3.9096573208722742,6.5420560747663545,CHARBONNET,0.31073779858421,,,,,,,,0.0,60.94652279172734,100.0,27.45112254250131,62.663304091962935,50.0,50.0,78.32282219376121,62.61843236378246,5
Bijan Robinson,ATL,565,2931,14,4.543166242117824,3.0759071777821765,4.993123440593397,525.9855744949678,0.7404013028698544,0.43041960188480854,2363.0144255050322,14.20060873536053,5.187610619469027,2.47787610619469,ROBINSON,0.7404013028698544,,,,,,,,0.0,78.77893653755447,40.7305773884302,80.05152410366989,71.51754802650241,50.0,50.0,13.959792947413987,61.49204173430276,6
TreVeyon Henderson,NE,323,1694,17,3.589056845072152,2.9855626926949412,5.5927283508623225,331.5139054319899,1.2517127059083821,0.39238022742807427,1321.48609456801,31.20520362147156,5.244582043343653,5.263157894736842,HENDERSON,1.2517127059083821,,,,,,,,0.0,100.0,8.648567790555099,82.39646094651653,53.47391498979034,50.0,50.0,59.3841713532627,61.47526106652648,7
Jaylen Warren,PIT,414,1903,12,4.06272858172808,2.8626619280696564,4.675299331230907,369.50276269501455,0.9257387163739746,0.45220343221020465,1517.4972373049854,31.760522052657716,4.596618357487923,2.898550724637681,WARREN,0.9257387163739746,,,,,,,,0.0,86.47103374204433,24.575820209084853,55.72635483975108,81.85051080885601,50.0,50.0,60.867593611945594,60.35144769321205,8
Jordan Mason,MIN,279,1319,11,4.043679960650995,2.8970180977355975,4.585468737237605,270.6464049696025,0.8913185507555246,0.43273460410557185,996.3535950303975,32.60388746473652,4.727598566308243,3.942652329749104,MASON,0.8913185507555246,,,,,,,,0.0,85.04248645239592,23.935308705777587,61.11748422458826,72.61564838033806,50.0,50.0,63.12047583991107,59.63648217915073,9
Jahmyr Gibbs,DET,461,2400,26,4.233479794304347,2.8675431351462053,5.476484914177839,370.2157029673734,0.9864596910533051,0.3639513109869147,1993.7842970326267,21.715640910114022,5.206073752711497,5.639913232104121,GIBBS,0.9864596910533051,,,,,,,,0.0,88.9911489781102,30.317344249915973,80.81146441111122,39.98891574304741,50.0,50.0,34.03470020186147,59.6031151247795,10
Devon Achane,MIA,238,1350,8,3.5574962962962955,2.9079255813953493,5.6722689075630255,241.9862718315958,1.029728816304663,0.37872340425531914,1083.0137281684042,23.10924369747899,5.6722689075630255,3.361344537815126,ACHANE,1.029728816304663,,,,,,,,0.0,90.78695647911049,7.587341654562259,100.0,46.99592450504316,50.0,50.0,37.75743166266309,59.465198668801726,11
Rhamondre Stevenson,NE,198,837,8,4.876424540990827,2.6506077241715396,3.597160247160247,202.59234972921078,0.5034203100514395,0.4763858019671973,634.4076502707892,27.2002072002072,4.2272727272727275,4.040404040404041,STEVENSON,0.5034203100514395,,,,,,,,0.0,68.94346512403312,51.93641602299449,40.52413384660942,93.32119906503509,50.0,50.0,48.68562345064999,59.402898576656305,12
Omarion Hampton,LAC,240,1066,8,4.266894779390273,2.9961102710585172,4.596776966195472,168.0699188766364,0.8346994702557402,0.4582059556804887,897.9300811233636,23.837999154213076,4.441666666666666,3.3333333333333335,HAMPTON,0.8346994702557402,,,,,,,,0.0,82.69261298325151,31.440925964506526,49.34856218588042,84.69775349722475,50.0,50.0,39.70415628937291,58.99333939022941,13
Kenneth Gainwell,PIT,156,808,7,3.402612780786367,2.9111229946524064,6.318724696356275,108.02034890089297,0.6755035594541424,0.465361571979219,567.9796510991071,43.19838056680162,5.17948717948718,4.487179487179487,GAINWELL,0.6755035594541424,,,,,,,,0.0,76.08547200026825,2.379370276722131,79.71716430697592,88.09195533386794,50.0,50.0,91.42154780954861,58.879492892007505,14
D'Andre Swift,CHI,429,2105,16,3.952664699749595,2.850398691367112,4.864165733617622,244.40373428561998,0.521788984909497,0.49046597136380415,1842.59626571438,21.66175144529696,4.906759906759906,3.7296037296037294,SWIFT,0.521788984909497,,,,,,,,0.0,69.70582405553243,20.87491281948484,68.49174309800924,100.0,50.0,50.0,33.89074526154482,57.66091202722468,15
Blake Corum,LAR,233,1203,10,3.652535267703348,2.7811296814296815,5.2607045971270106,188.40128757082212,0.816660344413351,0.42632627788877786,1012.5987124291779,24.05623830192796,5.163090128755365,4.291845493562231,CORUM,0.816660344413351,,,,,,,,0.0,81.94393139306304,10.783035148719593,79.04226370312807,69.57591683146919,50.0,50.0,40.28713857711137,57.320714323902656,16
Kenneth Walker III,SEA,433,2037,10,5.029067145068039,3.210456689633896,4.838325629024045,110.55498649193669,0.3866211856912742,0.3828529344334732,1858.4450135080633,28.91332313955698,4.704387990762124,2.3094688221709005,III,0.3866211856912742,,,,,,,,0.0,64.09592678306173,57.06903656337822,60.162139772226595,48.954729774919215,50.0,50.0,53.261870471134706,56.922648874313964,17
David Montgomery,DET,259,1171,13,4.437479430353402,2.6329927135338056,4.518413005965749,204.53598486604167,0.8246410030288387,0.34251841992568854,960.4640151339584,36.94216316579186,4.521235521235521,5.019305019305019,MONTGOMERY,0.8246410030288387,,,,,,,,0.0,82.2751543267683,37.17684935693416,52.62360651393191,29.822417824832375,50.0,50.0,74.70931276272381,55.68010983708783,18
Jacory Croskey-Merritt,WAS,294,1390,14,3.8989209481338962,2.8282737633595825,4.985876476464711,251.78265208298274,1.0725951849246393,0.36508195725842785,1138.2173479170174,22.627022650552064,4.727891156462585,4.761904761904762,CROSKEY-MERRITT,1.0725951849246393,,,,,,,,0.0,92.56604828790506,19.06777460189727,61.12952719957655,40.525227570170486,50.0,50.0,36.469274464118804,55.58796855255576,19
De'Von Achane,MIA,224,1203,7,4.392149460234303,2.8991705786381536,5.1417832167832165,168.84329712804214,0.4959713262706515,0.3529724661303609,1009.1567028719578,21.390028622171478,5.370535714285714,3.125,ACHANE,0.4959713262706515,,,,,,,,0.0,68.63430840152812,35.65262525754326,87.58069864669733,34.78120003825929,50.0,50.0,33.164892018828716,55.317224806473675,20
Breece Hall,NYJ,475,2107,8,4.300941012057834,2.7927856168035397,4.444162953440765,300.3477757172029,0.5530577733609857,0.42144228835691155,1806.652224282797,26.608466004025214,4.435789473684211,1.6842105263157894,HALL,0.5530577733609857,,,,,,,,0.0,71.00357908344607,32.585733432700756,49.106657641114104,67.25924059463013,50.0,50.0,47.10490505108055,54.190501599981815,21
Kyren Williams,LAR,518,2504,20,3.3595838923505057,2.65109111511458,4.972579892925162,290.6373679977303,0.6442677442855239,0.4572002243268564,2155.3626320022695,22.686865467342876,4.833976833976834,3.861003861003861,WILLIAMS,0.6442677442855239,,,,,,,,0.0,74.78908546936876,0.9325202445773145,65.49600071880873,84.22069393098248,50.0,50.0,36.62913259499365,52.88978798962761,22
Javonte Williams,DAL,495,2368,22,3.3318510183990724,2.79391192550719,4.829689002142079,311.34790643715945,0.6729245519363337,0.45048872025267916,2052.6520935628405,21.651834523835298,4.783838383838384,4.444444444444445,WILLIAMS,0.6729245519363337,,,,,,,,0.0,75.97843491507848,0.0,63.43230823972284,81.03715270906805,50.0,50.0,33.864254186861025,52.20647904661162,23
Chris Rodriguez,WAS,112,500,6,3.3361199999999998,2.6073529411764707,4.464285714285714,77.85628602880684,0.6951454109714896,0.45535714285714285,422.14371397119316,31.25,4.464285714285714,5.357142857142857,RODRIGUEZ,0.6951454109714896,,,,,,,,0.0,76.90067184735273,0.14354486929715052,50.27955942106854,83.3464449147664,50.0,50.0,59.50383592999129,52.07959619055001,24
Cam Skattebo,NYG,197,811,10,3.6940779960539545,2.5949428341988465,4.307363300239799,96.10490856769738,0.6324847661093924,0.4827417027417028,708.8950914323026,20.636138049895212,4.116751269035533,5.0761421319796955,SKATTEBO,0.6324847661093924,,,,,,,,0.0,74.30005407643216,12.179912921638419,35.9750841350231,96.33606307977779,50.0,50.0,31.151023951930547,51.754139113152014,25
Rico Dowdle,CAR,424,1968,12,3.6772113424150414,2.7510564217867692,4.452468816593005,293.5820600225226,0.5037963717796053,0.4474604599580579,1636.4179399774773,21.397860840426738,4.6415094339622645,2.8301886792452833,DOWDLE,0.5037963717796053,,,,,,,,0.0,68.95907289212079,11.612770258959307,57.5740660602286,79.60072484251783,50.0,50.0,33.185814225336244,51.47858206298893,26
