team,ol_rank,leaky_under_pressure,elite_ol,dl_team_rank,elite_pass_rush,blitz_heavy_def,kicker_score,elite_kicker,poor_kicker,punter_score,elite_punter
LA,1.0,False,True,3.0,True,True,69.61538461538461,False,False,38.61216069847785,False
CHI,2.0,False,True,27.0,False,False,64.16666666666669,False,False,48.85503791567746,False
DAL,3.0,False,True,21.0,False,False,63.99247198879551,False,False,47.38874446772922,False
CIN,4.0,False,True,30.0,False,False,62.01298701298703,False,False,85.37212622506522,True
BUF,5.0,False,True,26.0,False,False,58.8469387755102,False,False,52.52528604577819,False
DEN,6.0,False,True,1.0,True,False,69.79166666666667,False,False,57.603035491349104,False
IND,7.0,False,True,22.0,False,False,88.0,True,False,70.51000836280662,True
ATL,8.0,False,True,18.0,False,False,65.75757575757576,False,False,41.41550257453677,False
CAR,9.0,False,False,28.0,False,False,40.22413793103449,False,True,51.984273399698736,False
GB,10.0,False,False,6.0,True,True,53.21212121212122,False,False,94.6647857076856,True
KC,11.0,False,False,11.0,False,False,52.95112781954889,False,False,52.67162178435209,False
SF,12.0,False,False,32.0,False,False,76.47264713507907,True,False,20.84806024956792,False
DET,13.0,False,False,2.0,True,True,45.51937441643325,False,False,49.989553485366926,False
PIT,14.0,False,False,9.0,True,False,68.72654598308668,False,False,46.00625787934067,False
BAL,15.0,True,False,31.0,False,False,48.68286445012788,False,False,79.62532009583686,True
WAS,16.0,False,False,16.0,False,False,59.914772727272734,False,False,68.9160630060451,True
JAX,17.0,False,False,14.0,False,False,73.66666666666666,True,False,56.657236799950944,False
NYG,18.0,False,False,5.0,True,True,66.5,False,False,19.104285898344315,False
TB,19.0,False,False,23.0,False,False,71.56299840510366,True,False,24.76571296895779,False
SEA,20.0,False,False,8.0,True,False,70.31249999999999,True,False,57.5219786816089,False
HOU,21.0,False,False,7.0,True,True,76.44230769230768,True,False,50.16445148588866,False
MIA,22.0,False,False,19.0,False,False,77.1182266009852,True,False,43.14453218900759,False
PHI,23.0,False,False,20.0,False,False,42.02380952380953,False,True,55.70577765668506,False
TEN,24.0,False,False,10.0,True,False,54.08465608465609,False,False,39.12938776464397,False
NO,25.0,True,False,12.0,False,False,52.91666666666667,False,False,10.780563354492188,False
ARI,26.0,True,False,25.0,False,True,51.27272727272727,False,False,86.55425219941348,True
NE,27.0,True,False,24.0,False,False,74.36079545454545,True,False,48.41728117709663,False
MIN,28.0,True,False,15.0,False,False,86.13186813186813,True,False,60.79418716967962,False
NYJ,29.0,True,False,29.0,False,False,90.3448275862069,True,False,50.94007184014524,False
LAC,30.0,True,False,13.0,False,True,79.88385598141696,True,False,49.02789038329734,False
CLE,31.0,True,False,4.0,True,True,73.52564102564102,True,False,16.826588300039525,False
LV,32.0,True,False,17.0,False,False,54.31818181818183,False,False,29.67273021100421,False
