name,team,pos,targets,receptions,yards,rec_touchdowns,avg_cushion,avg_separation,avg_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation,catch_percentage,percent_share_of_intended_air_yards,catch_pct,ypr,ypt,td_rate,yac_oe,name_last,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_epa,air_yards_total,s_sep,s_yac_oe,s_ypt,s_catch,s_air,s_cushion,s_drop,s_btk,composite,rank
Luther Burden,CHI,WR,60,47,652.0,2,7.425192307692305,4.630454576457557,7.264833333333334,7.4178723404255305,6.491090834601449,0.9267815058240814,78.33333333333333,9.733446174527218,78.33333333333333,13.872340425531915,10.866666666666667,3.3333333333333335,0.9267815058240814,BURDEN,,,,,,,94.33729342314051,37.81174030122925,81.43299908842299,87.85953177257522,22.44270882048978,88.95374227369489,50.0,50.0,67.55757706495498,1
Pat Freiermuth,PIT,TE,75,55,756.0,6,5.102022222222222,3.2944472225362618,8.206081481481482,10.099986991869919,5.779220921983944,4.320766069885975,67.85185185185185,21.86086472134387,73.33333333333333,13.745454545454546,10.08,8.0,4.320766069885975,FREIERMUTH,,,,,,,48.95240038389013,100.0,72.03172288058342,75.71906354515048,28.43612716385272,23.35773475348249,50.0,50.0,61.129996274076774,2
Dalton Kincaid,BUF,TE,78,64,924.0,8,5.563994152046784,3.5791180450057687,7.673725623582766,8.09391452991453,6.4807627793494405,1.6131517505650912,84.93197278911565,28.815318333093156,82.05128205128204,14.4375,11.846153846153847,10.256410256410255,1.6131517505650912,KINCAID,,,,,,,58.62282232524654,50.38815902788919,93.13862982960524,96.88705942886541,25.046339497120773,36.40177073364072,50.0,50.0,60.94977734517092,3
Sam LaPorta,DET,TE,83,67,865.0,6,7.102789170506912,3.5984507776881993,5.489525510204082,8.534180555555555,6.846644246276113,1.6875363092794418,81.66099773242631,21.68420534613161,80.72289156626506,12.91044776119403,10.421686746987952,7.228915662650602,1.6875363092794418,LAPORTA,,,,,,,59.27956571993913,51.75111344550455,76.11514425981044,93.661602933473,11.138397100788143,79.85050926306758,50.0,50.0,60.451865350024704,4
Marvin Mims,DEN,WR,51,37,322.0,1,7.816410256410257,4.528699894119983,8.966862745098041,6.515135135135135,6.0426059766027445,0.4725291585323905,72.54901960784314,10.444706844296649,72.54901960784314,8.702702702702704,6.313725490196078,1.9607843137254901,0.4725291585323905,MIMS,,,,,,,90.8806317808381,29.488436995352252,27.021824226500087,73.81467637222111,33.28041863960991,100.0,50.0,50.0,57.27888107727254,5
Khalil Shakir,BUF,WR,174,135,1297.0,6,6.984719973544974,3.8624401684512506,3.750663237956001,7.457142195767196,5.164973167602571,2.292169028164625,80.48576301865775,9.497295841405492,77.58620689655173,9.607407407407408,7.454022988505747,3.4482758620689653,2.292169028164625,SHAKIR,,,,,,,68.24742823065985,62.82984872985274,40.64926287995473,86.04543881905201,0.06615323016002352,76.51675940968411,50.0,50.0,56.73505953637936,6
Zay Flowers,BAL,WR,233,170,2409.0,10,6.695162825736355,3.6420441071163867,10.081534931640864,5.643735049833887,5.268071713408935,0.3756633364249514,73.97286135820532,38.04630600381323,72.96137339055794,14.170588235294117,10.339055793991417,4.291845493562231,0.3756633364249514,FLOWERS,,,,,,,60.760454719177105,27.713556530385436,75.12764034569506,74.8159099717226,40.37811837246581,68.34095129129484,50.0,50.0,55.856042502416706,7
Jameson Williams,DET,WR,188,123,2021.0,13,6.115914068405139,3.2131632655332876,11.383925711951447,6.602933608058609,4.790235073367003,1.8126985346916051,67.69140989729225,36.277461949626854,65.42553191489363,16.43089430894309,10.75,6.914893617021277,1.8126985346916051,WILLIAMS,,,,,,,46.191140362708886,54.044471247076956,80.03874202370102,56.518181171280155,48.67112039143141,51.98553845277093,50.0,50.0,55.269185675456185,8
DJ Moore,CHI,WR,68,46,635.0,6,6.822200396825397,3.5470044981923894,11.115186507936507,5.013861111111113,4.184648848172764,0.829212262938348,67.5,23.88451721914521,67.64705882352942,13.804347826086957,9.338235294117647,8.823529411764707,0.829212262938348,MOORE,,,,,,,57.531907755833146,36.023970999200166,63.167059895972976,61.91225654141256,46.95991758259424,71.92792820728769,50.0,50.0,54.11521283576134,9
Jaxon Smith-Njigba,SEA,WR,322,236,3563.0,20,6.294779178338002,2.981081229836621,11.69209805496841,4.650496979183831,3.8738790492675483,0.7766179299162824,75.27522980247628,52.12194765396456,73.29192546583852,15.097457627118644,11.065217391304348,6.211180124223603,0.7766179299162824,SMITH-NJIGBA,,,,,,,38.30718797613751,35.060280688026374,83.80583409298087,75.61852136521324,50.63341458259543,57.03589493318575,50.0,50.0,53.76592782293425,10
