team,line,over_odds,under_odds
LA,11.5,-120,100
BAL,11.5,115,-140
BUF,10.5,-120,100
SEA,10.5,-115,-105
DET,10.5,-110,-112
PHI,10.5,105,-125
KC,10.5,115,-140
SF,10.5,125,-145
NE,10.5,125,-150
GB,9.5,-140,115
HOU,9.5,-125,105
DEN,9.5,-115,-105
LAC,9.5,-130,110
CHI,9.5,100,-120
CIN,9.5,-140,115
DAL,9.5,115,-140
JAX,8.5,110,-130
TB,8.5,-125,105
PIT,8.5,100,-120
MIN,8.5,-110,-110
NYG,7.5,-115,-105
NO,7.5,-120,100
CAR,7.5,110,-130
WAS,7.5,-120,100
IND,7.5,-130,110
TEN,6.5,-110,-110
ATL,6.5,-115,-105
CLE,6.5,105,-120
LV,5.5,-146,120
NYJ,5.5,-120,100
ARI,4.5,125,-150
MIA,4.5,-110,-110
